Company Name,Esablished,Total Projects,About Company

India Builders Limited,1987,275,"India Builders Limited is a renowned and widely trusted property development group of companies involved in constructions in Chennai. They are a premium builder in Chennai, reputed in providing all their customers functional and aesthetically pleasing apartments, complemented by grandiose exteriors built using the latest innovative technology along with a wholesome of essential amenities. The company uses international quality standards which has earned them ISO 9001 certification. The company ensures of providing complete customer satisfaction, they have established a benchmark as the ideal flat promoters in Chennai, Coimbatore that’s unique in the industry. The core of their business process is the unswerving righteousness and disciplined work ethic that provides the necessary impetus to keep the passion alive. ",
GPS Group,1984,59,"The GPS Group is one of the largest, most innovative, creative and forward thinking Real Estate Company in Kolkata. The core business philosophy is a commitment to extraordinary service, honesty & clear communication. They launched as GM Group in 1984 and after 32 years in the industry, they opened its second full service office as GPS Group in Dwarka Vedmani, AD-169, Salt Lake City, Sec-1, Kolkata-700064, in order to better serve our clients. Mr.G.P.Gupta, belongs to a reputed business family, started career in Real Estate Sector in 1984 and constructed many multistoried residential & commercial building complex over the years. He is the first Developer in Keshtopur. Mr.Sanjay Gupta, has in excess of 20 of experience in the engineering & construction industry. He joined as the Director with responsibility to Business Development and Operations coordination. His experience encompasses all phases of project delivery including project manager, site management, project controls & estimating. Above all of this-the office, the technology, the history would be nothing without their people. At the Core of every successful Real Estate transaction they are the key persons who bring it all together. Their team is trained and they bring with them a wealth of experience and knowledge not just about real estate, but about life in general. Their staffs are passionate about what they do, and they take their jobs seriously. At the GPS Group, they go the extra mile to make their customers happy. They not only satisfying their customers, but they delight them.
",
EDEN GROUP,1908,10,"The Eden Group is committed to delivering great value to our customers in Kolkata.

Over the year the group has built a formidable reputation in the realty business. A huge focus on meticulous planning, attention towards architectural nuances and reliance on cutting edge technology has helped deliver outstanding products to hundreds of satisfied customers.

The management at Eden Realty has a latent energy and confidence owing to professionalism which has resulted in enviable working efficiency.  Ultimately all efforts are directed towards one motto… of achieving higher levels of customer satisfaction.",
GM Group,1984,59,"GM Group has strive to achieve excellence in the field of construction, real estate and construction management in Kolkata. The principal activity of the Group is development of residential and commercial buildings. Since its inception, GM Group has given the best value and quality to its clients. The Group effectively helps those looking for excellent properties to achieve their goals because of its outstanding construction management experience. This Group has teamed with its clients for the biggest building challenges while offering cost saving and personal attention. The search for best value of construction and allied services by the most discerning client ends at GM Group.",
Realtech Nirman Pvt. Ltd.,1994,19,"Having created and delivered many quality projects across Kolkata, Realtech Nirman Pvt. Ltd., has established itself as one of the most trusted names in the Real estate industry. It has carved a niche for itself by developing residential/commercial projects that speak of class. It has a strong vision of providing quality residences for all those who dream of owning a house. Realtech Nirman Pvt Ltd is a modern day construction industry that focuses on the beautiful combination of convenience and elegance in all their projects.
",
Sree Balaji,2001,3,"We are one of the leading developers of residential and commercial projects in West Bengal. Since inception, we have always endeavoured to offer our customers their dream homes  at an affordable price. Sree Balaji Group has always conducted itself  with clear principles and ethics, transparency, customer service with a view to providing a  quality residential experience to our customers. 

Our range of expertise encompasses a holistic management of all aspects of a project right from the acquisition of land, appointment of architects and designers, construction, sales to after sales service. The company’s projects are located in the most desirable and exclusive locations and homes are built under high quality specifications that have become synonymous with the group. In addition to support services provided by our team, the company’s comprehensive customer care program ensures total customer delight. 

Sree Balaji was founded by Mr. MANAB PAUL , a first generation entrepreneur with a vision to build world class residential and commercial spaces that create a better and more humane living and working environment. Customer delight and concern for the environment are two key driving principles at Sree Balaji.

Over two decades of experience and expertise have paved the way for SREE BALAJI to emerge as a leading construction developer company. Started in 2006 the company specialises in developing, building and marketing various construction projects that find varied usage in the civil construction and building industry.",
Merlin Group,1984,101,"Nation wide presence for the last 33 years | Over 10 million sq ft of construction experience | Over 500 acres of land bank across India | Over 100 projects completed | Over 50% sales from referrals (Existing customers) | At present, over 7.5 million sq ft of construction in progress | Co-promoter of South City Group. Merlin Group, Over three decades of leadership in the East. Kudos galore in Real Estates. Now it's time to spread our wings. Touch lives. Build the Nation the Merlin Way. Over 2.5 million sqft. of construction work in progress in Kolkata and around 5 million outside Kolkata, in Chennai, Ahmedabad, Raipur, Pune and Bhubaneswar. Creating a new Horizon ! Merlin Group, is one of the leading and premium real estate developers in India, having to its credit, over the past three decades, number of prestigious Residential and Commercial Complexes, Office Buildings and Township in Kolkata, Ahmedabad, Raipur, Chennai and has now also extended its activities to Modern Shopping Malls, Resort, Industrial Estate & Clubs etc."
Royal Realtors Group Of Companies,2006,5,"Established in 2006 by three visionary founders, Royal Realtors Group has developed 1 million square feet of real estate and completed 7 projects across Mumbai suburbs in its journey so far. Presently, we are developing another 1 million sq. ft. across two projects.
Sustainable approach, exceptional design and latest technologies are the hallmarks of our projects . We understand the needs of an ever-evolving lifestyle in an urban landscape, and design spaces that are intelligent enough to meet the aspirations of the new age customer.
We constantly strive to offer an outstanding customer experience. Our high-quality construction, transparent sales process and thorough post-sales service are a testimony to that.",
Romell Group,1996,20,"Romell Group is the patron name in the field of real estate. The firm aims to endow people with modern generation homes. The group since its time of inception focuses on achieving customer satisfaction and maintaining high quality of property with unmatched services. The team is armed with their wide and innovative skills. The well-knit team comprises of engineers,
architects and designers who work relentlessly to maintain the reputation of the company. Each of the projects created by them are unique and magnificent, thus carving a niche in the realty domain.",
Unique Shanti Developers ,1995,108,Unique Shanti Developers Pvt Ltd is a leading name in the Real Estate field. The firm is an apex of comfortable and modern adobe providers. Their wide imagination and creativity makes them one of the well-known Real Estate companies in the market. They have a group of skilled and experienced craftsman and architects who keep on innovating new designs and ideas for the construction of premium structures. They ensure to provide residents with all the modern amenities and luxuries. They believe in establishing long term relationship with their clients and not just simply focus on making money. Their dedication and quality services have assisted them in reaching the edge of success where they are standing today.,
Ajnara India Ltd.,1991,10,"Ajnara India Ltd. is a renowned name in the Real Estate sector with an experience of almost two decades guiding through its growth. Delhi, Noida, and NCR being its center of operations, Ajnara has successfully completed various projects, both residential and commercial in nature, on land acquired from DDA, GDA & Noida Authority through bidding and auctions. In all ventures so far completed, Ajnara has proved its dedication towards quality, design, and construction. At Ajnara, great emphasis is laid on the aesthetics and utmost care is taken to ensure that all the undertakings are architecturally soothing to the sense. Appeal and affordability are the characteristics of Ajnara, and the company is also proud of its commitment.",
Renowned Group,2009,2,Renowned Group is approaching very rapidly in their path of success through their sincere attempts to have something big to their clients. In the entire domain of Real Estate there are very few companies like Renowned Group who wants to unite their passion with customer satisfaction. The group has been maintained and organized by the persons who have their first hand experience to deal with every problem that would come into their path of success. Unique and complete construction is their motto and strong team and sound financial background is their stepping stone of their success.,
Dasnac,1986,125,"WE ARE DASNAC 
32+ Years Of Experience
125+ Projects Across North India
15+ Million Sq .Ft. of Real Estate Delivered
6,000+ Homes Delivered 

ENGINEERING & ARCHITECTURE
Dasnac’s predecessor and flagship business, Designarch has been a leading engineering and architectural firm in India for over two decades. We have
successfully completed over 100 residential, commercial, education and healthcare projects of over 15 million sq. ft. 

STRATEGIC INVESTMENTS
Dasnac makes strategic investments in real estate and impactful ventures across sectors and geographies. Within real estate we concentrate on opportunistic value-addition in the built environment and land. We see urbanization in th developing world as an immense opportunity and evaluate opportunities around this theme for private investments.  

BUILDING CONSTRUCTION
Dasnac, equipped with a long-standing engineering and architectural tradition, is capable of managing and executing construction of its projects at the cutting-edge with our construction division.

NURTURING ENTERPRISE WITH A PASSION TO CREATE CHANGE FOR POSITIVE HUMAN IMPACT
We presently have interests in businesses focused on innovative and meaningful value creation across the real estate value chain. With experience spanning three decades and over 15 million sq ft. of property, we have acquired expertise across development engineering, architecture, and building construction. In addition, we make strategic investments in real estate and impactful ventures across sectors and geographies. 

PROPERTY DEVELOPMENT
Dasnac is a knowledge-driven leader in property development in North India. Our flagship business, Designarch, pioneered smart housing in South Asia. We develop properties selectively with unrelenting focus on quality",
Cybercity Builders & Developers,2008,3,"Cybercity Builders and Developers Pvt. Ltd. are a leading and famous Real Estate company based in the Southern part of the country. Employees of this company are highly educated, skilled and qualified individuals. Additionally, they also undergo rigorous training to further enhance their knowledge and expertise. This is the reason why Cybercity Builders and Developers are so renowned and successful. These employees consist of engineers and architects who unite to deliver superior quality services. The residential and commercial complexes they construct are top notch and in terms of quality they are excellent. Creativity, innovation and hard work has contributed immensely to the success of this company.",
Anuhar Homes Pvt Ltd,2007,21,"Anuhar Homes is the first proficiently managed builder in the city. They have been in the industry of real estate for many years. They strongly believe in providing satisfied and quality living spaces in the happening locations of the city, thus bringing their customers dream to reality. They are
known to build the best homes and with their quality and perfection, have been able to win
the hearts of the people.",
RR Builders,2006,17,"RR builders is an eminent real esate builder who have delivered the best in class apartments across Hyderabad. Since inception in 2006, they have endeavored to be the most preferred home builders. RR Builders believes that home is a sacred place, to be built not just using bricks and stones but on trust, faith and integrity."
Praneeth Group,2007,9,"Praneeth Group is an established real estate development group at Hyderabad, Andhra Pradesh, India. They are a group of Information Technology professionals with a zeal for providing enhanced services to the customers, and bring a difference to real estate sector in India. The group holds a reputation of premier real estate company in Hyderabad with bigger and challenging projects added every year. Over the years, the group is actively involved in constructing world class environment accompanied by the horde of modern features and amenities. With a clear vision of providing the best, they are in the process of developing gated communities & mega townships which include apartments and residential enclaves. Focusing equally on building up of Malls & Multiplex, they have raised the name in terms of commercial construction. Praneeth Group have successfully built and handed over more than 1 million Square feet to their esteemed clientele over last seven years.",
Riddhi Group,2013,16,"Riddhi Builders is a real estate company based in Hyderabad.
Our credibility in this field is evident from the number of successful projects handled by us in the past decades. Ours is a company with ideas.
Ideals which have shaped our journey and given us an impetus to work towards being acknowledged as the most credible company in this business. We are renowned for our superiority in the fields of quality constructions and locations. Our constant endeavors are aimed at providing the best quality living to all strata of the society without any compromise on quality. In addition to high flying constructions for the elite, we are also into the construction of affordable and visually charming homes complete with all conveniences.",
Vessella Group,2010,2,"Vessella Group is a name that has brought a vast revolution in the Real Estate market. This company has been working hard since the year of its inception to fulfil the dreams of millions of people. They do not just aim in making money; they always focus on customer satisfaction and ensure that their clients and customers are provided with excellent services. Apart from this, Vessella Group also provides after sale services along with 24 hours customer care support, which makes them completely different from other builders in the market.",
Jaydee Group,2001,2,"JAYDEE group has swiftly carved 18 years of substantial growth, customer satisfaction and innovation. We have successfully completed residential cum commercial projects at Vavol. Such as...."
Omkar Group,2001,4,"Omkar Group is totally committed to give shape to your dream home. The foundation of this company is built on high quality, customer satisfaction, timely delivery and most importantly ethics. Known for the superior quality and time adherence, the company has delivered residential spaces in Gandhinagar, Vastral, Narol, Vatva, Isanpur, Ranip, Bareja which amounts to more than 5000 Units and a lot more is projected to be completed in years to come. Omkar Group mainly focuses on affordable housing and commercial projects.",
Soham Group,9,"Soham Group is now a name renowned for its quality in the skyline of Ahmedabad. It is steered by a group of professionals having over twenty years of experience in the real estate industry. After developing a class of commercial and residential spaces over the years, we are now in the expansion of our portfolio towards ultra-luxurious residences, hi-tech commercial spaces, concept-colonies, hotels and the tandem that a changing megacity demands.",
