Project Name,Company Name,Project Location,Min. Price per sq.ft.,Configurations,Possession Date,Super Builtup Area
BSR Paradise Layout, BSR Builders And Developers ,"Hoskote, Bangalore","2,998 per sqft.",Residential Plots, Ready for Registration ,995.00 sqft. - 1930.00 sqft.
Gopalan Sanskriti, Gopalan Enterprises ,"Near BGS Hospital, Mylasandra, Mysore Road, Mysore Road","4,899 per sqft.","2, 3 BHK Apartments", Ready to Move ,1360.00 sqft. - 1735.00 sqft.
Epitome Elan, Epitome Builders Pvt Ltd ,"Sy No. 171/3 & 172/5, 80 feet Road, Kothanur, JP Nagar 8th Phase, J P Nagar 8th Phase","5,500 per sqft.","2, 3 BHK Apartments","Dec, 2022",1275.00 sqft. - 2050.00 sqft.
Gopalan Olympia, Gopalan Enterprises ,"Kumbalgudu, Off Mysore Road, Near Rajarajeshwari Dental College, Bangalore, Mysore Road",Price on request, Ready to Move ,980.00 sqft. - 1360.00 sqft.
Keya The Green Terraces, Keya Homes ,"The Green Terraces Electronic City Phase 1, Neotown, Electronic City","4,666 per sqft.","1, 2, 3 BHK Apartments","Sep, 2019",660.00 sqft. - 1500.00 sqft.
Ohana," Ahuja, SKAV & AG ","857, Old Madras Road, Near Bhattarahalli RTO, KR Puram, Hosabasavanapura, Bangalore","4,999 per sqft.","3, 4 BHK Apartments","Nov, 2020",1590.00 sqft. - 2625.00 sqft.
Concorde Auriga, Concorde Housing Corporation Pvt. Ltd. ,"KR Puram, Old madras Road, Bangalore","4,444 per sqft.","2, 3 BHK Apartments","Sep, 2024",833.47 sqft. - 1801.32 sqft.
T G Ascent, T.G. Developers ,"Survey No. 185, Chikkanagamangala village, Anekal Taluk, Sarjapur Hobli, Sarjapur Road","4,150 per sqft.","2, 3 BHK Apartments","Jun, 2020",1107.00 sqft. - 1578.00 sqft.
RWD Corniche, Ramky Wavoo Developers Pvt. Ltd. ,"Egmore, Chennai Central","16,000 per sqft.",3 BHK Apartment,"Dec, 2019",1341.00 sqft. - 1591.00 sqft.
VGN CH40, VGN Homes ,"Adjacent to VR Mall, Anna Nagar, Anna Nagar","13,500 per sqft.",Residential Plots, Possession Started ,753.00 sqft. - 2518.00 sqft.
Adroit Fortune, Adroit Urban Developers Pvt Ltd ,"S.No. 444/2A & 2B, Nehru Nagar Main Road, Sholinganallur, OMR Road","5,524 per sqft.","2, 3 BHK Apartments","Feb, 2024",1153.00 sqft. - 1455.00 sqft.
Prince Highlands, Prince Foundations Ltd ,"Old No. 1/350, Mount Poonamallee High Road, Iyyapanthangal, Chennai, Porur",Price on request, Ready to Move ,610.00 sqft. - 1790.00 sqft.
Advaita Blossom, Advaita Homes ,"Kelambakkam, Chennai, OMR Road","3,199 per sqft.","1, 1.5, 2, 2.5, 3 BHK Apartments", Ready to Move in ,633.00 sqft. - 1402.00 sqft.
LML Prakriti, LML Homes ,"Rajmohan Nagar, Near West Tambaram EB Office, Close to Tambaram Railway Station, Chennai south","3,990 per sqft.","1.5, 2, 2.5, 3, 4 BHK Apartments","Jan, 2021",600.00 sqft. - 2019.00 sqft.
BBCL Vajra,  BBCL ,"Service Road, Near Sri Chaitanya Techno School, Nolambur, Mogappair West, Mogappair West","6,250 per sqft.","2, 3 BHK Apartment, Penthouses", Ready to Move ,1306.00 sqft. - 1850.00 sqft.
Loharuka Freshia 2, Loharuka Group ,"SRCM Road, Narendra Nagar, Crossing of 91C Bus Route & 6 Lane Expressway, Rajarhat, Kolkata, East Kolkata","5,100 per sqft.","2, 3 BHK Apartments","Dec, 2020",569.00 sqft. - 912.00 sqft.
Loharuka Urban Greens Phase II A, Urban Greens ,"Bidhannagar Municipal Corporation, PS. North, 24 Parganas, Rajarhat, East Kolkata","7,050 per sqft.","2, 3 BHK Apartments", Under Construction ,707.00 sqft. - 1118.00 sqft.
Multicon Narayani, Multicon Group ,"125A Motilal Nehru Road, Ballygunge, Kolkata","9,100 per sqft.","3, 4 BHK Apartments","Dec, 2021",1901.00 sqft. - 2047.00 sqft.
Sai Proviso Leisure Town, Sai Proviso Group ,"Survey No. 202, Sade Satra Nali, Hadapsar, Pune",Price on request,"Dec, 2018",460.00 sqft. - 1079.00 sqft.
