State Name/Location,pricing,Emi,Project Name,Location,Config,Possession Status
udaipur_rajasthan,Price on Request,Unique Sanyog,"Rao Ji Ka Hata, Udaipur",3 BHK Apartment,Ready to Move
udaipur_rajasthan,2.12 Cr - 2.6 Cr,EMI starts at 1.52 Lacs,J.S. Archi Platinum,"Panchwati, Udaipur","3, 4 BHK Apartments",Ready to Move
udaipur_rajasthan,Price on Request,Unique Sampada,"Bhuwana, Udaipur","2, 3 BHK Apartments",Ready to Move
udaipur_rajasthan,70.18 L - 88.61 L,EMI starts at 51.8 K,Manglam Residency,"Navratna Complex, Udaipur","2, 3 BHK Apartments",Ready to Move
udaipur_rajasthan,2.81 Cr - 2.85 Cr,EMI starts at 1.66 Lacs,Riddhi Siddhi Venus,"Hiran Magri, Udaipur",4 BHK Apartment
udaipur_rajasthan,24.23 L,EMI starts at 15.1 K,Neesa Topaz,"Bari, Udaipur",2 BHK Apartment,Ready to Move
udaipur_rajasthan,34.6 L,EMI starts at 21.5 K,Neesa Emerald,"Bari, Udaipur",3 BHK Apartment,Ready to Move
udaipur_rajasthan,15.3 L,EMI starts at 9.5 K,Ruby,"Bari, Udaipur",1 BHK Apartment,Ready to Move
palakkad_kerala,33.21 L - 46.76 L,EMI starts at 29.1 K,SA Keerthanam,"Valiyapadam, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,33.24 L - 34.62 L,EMI starts at 21.5 K,SA Jewel 3,"Mattumanda, Palakkad",2 BHK Apartment,Ready to Move
palakkad_kerala,41.57 L - 56.86 L,EMI starts at 35.4 K,Kopak R M Co Tower,"Tippusulthan Nagar, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,32.46 L - 44.34 L,EMI starts at 27.6 K,Super Good Jeeva Apartments,"Thirunellaypalayam, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,34.6 L - 44.16 L,EMI starts at 27.5 K,Builtech Residency,"Kunathurmedu, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,41.98 L - 53.29 L,EMI starts at 33.2 K,Lord Krishna Prestige,"Puthur, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,22.13 L - 34.63 L,EMI starts at 21.5 K,Sherin Flamingo,"Vidyut Nagar, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,28.42 L - 44.45 L,EMI starts at 27.7 K,Aiswarya Nest,"Koppam, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,24.36 L - 39.33 L,EMI starts at 24.5 K,Amaravati Coral,"Ramanathapuram, Palakkad","1, 2, 3 BHK Apartments",Ready to Move
palakkad_kerala,19.46 L - 33.88 L,EMI starts at 21.1 K,Classic Pearl,"Vadakkanthara, Palakkad","1, 2 BHK Apartments",Ready to Move
palakkad_kerala,71.9 L,EMI starts at 44.8 K,OMG The Address,"Chandranagar, Palakkad",3 BHK Villa,"Mar, 2020"
palakkad_kerala,38.9 L,EMI starts at 24.2 K,OMG Venezia,"Ottapalam, Palakkad",3 BHK Villa,"Dec, 2019"
palakkad_kerala,23.89 L - 48.26 L,EMI starts at 30 K,AL - AIN Fieldview Enclave,"Vidyut Nagar, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,36 L - 46.5 L,EMI starts at 29 K,Soorya Platinum,"Nurani, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,32.7 L - 37.02 L,EMI starts at 23 K,Classic Dreamz,"Vidyut Nagar, Palakkad",2 BHK Apartment,Ready to Move
palakkad_kerala,71.9 L,EMI starts at 44.8 K,OMG The Address,"Chandranagar, Palakkad",3 BHK Villa,"Mar, 2020"
palakkad_kerala,68.8 L,EMI starts at 42.9 K,Kristal Titanite,"Kanjikode, Palakkad",4 BHK Villa,Ready to Move
palakkad_kerala,33.24 L - 34.62 L,EMI starts at 21.5 K,SA Jewel 3,"Mattumanda, Palakkad",2 BHK Apartment,Ready to Move
palakkad_kerala,22.13 L - 34.63 L,EMI starts at 21.5 K,Sherin Flamingo,"Vidyut Nagar, Palakkad","2, 3 BHK Apartments",Ready to Move
palakkad_kerala,23.89 L - 48.26 L,EMI starts at 30 K,AL - AIN Fieldview Enclave,"Vidyut Nagar, Palakkad","2, 3 BHK Apartments",Ready to Move
udupi_karnataka,42.25 L,EMI starts at 26.3 K,BR Meadows,"Ambalpadi, Udupi",2 BHK Apartment,Ready to Move
udupi_karnataka,17.42 L - 33.74 L,EMI starts at 21 K,Milan Residences,"Brahmavar, Udupi","1, 2 BHK Apartments",Ready to Move
udupi_karnataka,20.52 L - 47.9 L,EMI starts at 29.8 K,Supreme Pearl,"Kukkikatte, Udupi","1, 2, 3 BHK Apartments",Ready to Move
udupi_karnataka,15.4 L - 34.1 L,EMI starts at 21.2 K,Classic Nova,"Hayagriva Nagar, Udupi","1, 2, 3 BHK Apartments",Ready to Move
udupi_karnataka,24.2 L - 49.36 L,EMI starts at 30.7 K,Nissi The Icon,"Brahmagiri, Udupi","1, 2, 3 BHK Apartments",Ready to Move
udupi_karnataka,25.39 L - 29.58 L,EMI starts at 18.4 K,Priyadarshini Krishna Residency,"Kodankoor, Udupi",2 BHK Apartment,Ready to Move
udupi_karnataka,26.68 L - 58.32 L,EMI starts at 36.3 K,Khain Aashiyana,"Adi-udupi, Udupi","1, 2, 3 BHK Apartments","Sep, 2018"
udupi_karnataka,1.12 Cr,EMI starts at 65.2 K,Ira Greens,"Hayagriva Nagar, Udupi",3 BHK Villa,Ready to Move
udupi_karnataka,29.52 L - 65.48 L,EMI starts at 40.8 K,Mandavi Acropolis,"Brahmagiri, Udupi","1, 2, 3 BHK Apartments",Ready to Move
udupi_karnataka,44.12 L - 67.47 L,EMI starts at 42 K, Woods,"Ananth Nagar 1st Stage, Udupi","2, 3 BHK Apartments",Ready to Move
udupi_karnataka,20.67 L - 40.17 L,EMI starts at 25 K,Manasa Residency,"Ambalpadi, Udupi","1, 2, 3 BHK Apartments",Ready to Move
udupi_karnataka,33.2 L - 67 L,EMI starts at 41.7 K,RSB Windsor,"Adi-udupi, Udupi","1, 2, 3 BHK Apartments",Ready to Move
udupi_karnataka,21.6 L - 35.1 L,EMI starts at 21.8 K,Theertha Image,"Kukkikatte, Udupi","1, 2 BHK Apartments",Ready to Move
udupi_karnataka,36.64 L - 60 L,EMI starts at 37.4 K,Sankhya Heights,"Hayagriva Nagar, Udupi","2, 3 BHK Apartments",Ready to Move
udupi_karnataka,44.45 L,EMI starts at 27.7 K,Kalkura Palace,"Hayagriva Nagar, Udupi",2 BHK Apartment,Ready to Move
udupi_karnataka,1.12 Cr,EMI starts at 65.2 K,Ira Greens,"Hayagriva Nagar, Udupi",3 BHK Villa,Ready to Move
udupi_karnataka,44.12 L - 67.47 L,EMI starts at 42 K, Woods,"Ananth Nagar 1st Stage, Udupi","2, 3 BHK Apartments",Ready to Move
udupi_karnataka,54.56 L - 85.8 L,EMI starts at 50.1 K,Kirthi Solitaire,"Brahmagiri, Udupi","2, 3 BHK Apartments",Ready to Move
udupi_karnataka,17.42 L - 33.74 L,EMI starts at 21 K,Milan Residences,"Brahmavar, Udupi","1, 2 BHK Apartments",Ready to Move
udupi_karnataka,15.4 L - 34.1 L,EMI starts at 21.2 K,Classic Nova,"Hayagriva Nagar, Udupi","1, 2, 3 BHK Apartments",Ready to Move
udupi_karnataka,25.39 L - 29.58 L,EMI starts at 18.4 K,Priyadarshini Krishna Residency,"Kodankoor, Udupi",2 BHK Apartment,Ready to Move
panchkula_haryana,1.06 Cr - 4.1 Cr,EMI starts at 2.39 Lacs,Suncity Parikrama,"Sector 20, Panchkula","3, 4, 5 BHK Apartments",Ready to Move
panchkula_haryana,64.0 L - 94.0 L,EMI starts at 54.9 K,Samar Essvee Apartments,"Sector 20, Panchkula","2, 3 BHK Apartments",Ready to Move
panchkula_haryana,54 L,EMI starts at 33.6 K,Shubh Homes Independent Floors,"Sector 20, Panchkula",2 BHK Independent Floor,Ready to Move
dehradun,49.95 L,EMI starts at 31.1 K,Supertech Doon Square,"Clement Town, Dehradun",1 BHK Apartment,Ready to Move
dehradun,44.33 L - 73.57 L,EMI starts at 45.8 K,Resizone Residency,"Chironwali, Dehradun","2, 3, 3.5 BHK Apartments",Ready to Move
dehradun,70.36 L - 83.12 L,EMI starts at 48.5 K,UK The Solitaire Avenue,"Kanwali, Dehradun","3, 4 BHK Apartments",Ready to Move
dehradun,73.04 L - 1.4 Cr,EMI starts at 81.5 K,RBS Nilaya Hills,"Banjarawala, Dehradun","2, 3, 4 BHK Apartments",Ready to Move
dehradun,40.88 L - 89.02 L,EMI starts at 52 K,Design Arcade,"Chandrabani, Dehradun","2, 3, 4 BHK Apartments",Ready to Move
dehradun,45.1 L,EMI starts at 28.1 K,Nanak Villa,"Malsi, Dehradun",3 BHK Villa,Ready to Move
dehradun,89.75 L - 96 L,EMI starts at 56.1 K,Earthcon Rajpur Greens,"Rajpur, Dehradun",3 BHK Apartment,Ready to Move
dehradun,50.06 L - 1.32 Cr,EMI starts at 76.9 K,Grah Avas Vikas Green View Blossom,"Aman Vihar, Dehradun","3, 4 BHK Penthouse, Apartments",Ready to Move
dehradun,45.63 L - 1.03 Cr,EMI starts at 60 K,Rhombus Prakrati Heights,"Kaonli, Dehradun","2, 3, 4 BHK Apartments",Ready to Move
dehradun,94.4 L - 4.72 Cr,EMI starts at 2.75 Lacs,Eminent Park Belles,"Malsi, Dehradun","1 RK, 3, 4 BHK Apartment, Studio Apartments",Ready to Move
dehradun,1.11 Cr,EMI starts at 65.1 K,HA The Best Avenue,"Dalanwala, Dehradun",3 BHK Apartment,Ready to Move
dehradun,20.99 L - 76.01 L,EMI starts at 44.4 K,GTM The Capital,"Raipur, Dehradun","1, 2, 3, 4 BHK Apartments",Ready to Move
dehradun,49.49 L - 61.86 L,EMI starts at 38.5 K,Pearls Paradise,"Govind Vihar, Dehradun","2, 3 BHK Apartments",Ready to Move
dehradun,1.59 Cr,EMI starts at 92.9 K,LA City Signature,"Kanswali Kodari, Dehradun",3 BHK Villa,Ready to Move
dehradun,1.14 Cr,EMI starts at 66.6 K,La City Platinum,"Naugaon, Dehradun",3 BHK Villa,Ready to Move
dehradun,49.95 L,EMI starts at 31.1 K,Supertech Doon Square,"Clement Town, Dehradun",1 BHK Apartment,Ready to Move
dehradun,2.11 Cr - 2.93 Cr,EMI starts at 1.71 Lacs,Pushpanjali Upscale Living,"Dalanwala, Dehradun","3, 4 BHK Apartments",Ready to Move
dehradun,94.4 L - 4.72 Cr,EMI starts at 2.75 Lacs,Eminent Park Belles,"Malsi, Dehradun","1 RK, 3, 4 BHK Apartment, Studio Apartments",Ready to Move
dehradun,1.68 Cr - 7.17 Cr,EMI starts at 4.18 Lacs,Antara Senior Living,"Bhagwant Pur, Dehradun","1, 2, 2.5, 3 BHK Apartments",Ready to Move
dehradun,1.96 Cr - 5.1 Cr,EMI starts at 2.98 Lacs,Adarsh Panache Valley,"Kulhan, Dehradun","3, 4 BHK Villas",Ready to Move
dehradun,24.99 L - 27.73 L,EMI starts at 17.2 K,Avantika Forest Hill View,"Ghangora, Dehradun",2 BHK Apartment,Ready to Move
dehradun,29.54 L - 48.59 L,EMI starts at 30.3 K,Hansmukhi Garden Estate,"Govind Vihar, Dehradun","2, 3, 4 BHK Apartments",Ready to Move
dehradun,15.17 L - 29.49 L,EMI starts at 18.3 K,Race Course Valley,"Ajabpur Kalan, Dehradun","1, 2 BHK Apartments",Ready to Move
jodhpur_rajasthan,36.0 L - 60.0 L,EMI starts at 37.4 K,Arihant Adita Phase 3,"Gangana, Jodhpur","2, 3 BHK Apartments","Aug, 2020"
jodhpur_rajasthan,26.62 L,EMI starts at 16.6 K,Arihant Anchal Phase 1,"Chaukhan, Jodhpur",2 BHK Apartment,"Jun, 2020"
jodhpur_rajasthan,60 L - 70 L,EMI starts at 43.6 K,Mannant Antila,"Ashok Nagar, Jodhpur",3 BHK Apartment,Ready to Move
jodhpur_rajasthan,30.94 L,EMI starts at 19.2 K,Vijaylaxmi Heights,"Gopal Bari, Jodhpur",2 BHK Apartment,Ready to Move
jodhpur_rajasthan,28.03 L - 39.2 L,EMI starts at 24.4 K,Ashapurna Enclave Platinum Apartments,"Mansarover Colony, Jodhpur","2, 3 BHK Apartments",Ready to Move
jodhpur_rajasthan,36.69 L - 44.34 L,EMI starts at 27.6 K,Mannant,"Bhadu Market, Jodhpur","2, 3 BHK Apartments",Ready to Move
jodhpur_rajasthan,50.75 L,EMI starts at 31.6 K,Jodhana Silver Coin,"Maha Mandir Area, Jodhpur",3 BHK Apartment,Ready to Move
jodhpur_rajasthan,Price on Request,Sanjivani Residency,"Vidhya Nagar, Jodhpur","2, 3 BHK Apartments",Ready to Move
jodhpur_rajasthan,Price on Request,Sanjivani Ananda,"Paota, Jodhpur",3 BHK Apartment,Ready to Move
jodhpur_rajasthan,44 L,EMI starts at 27.4 K,Mannant Pearl,"Sardarpura, Jodhpur",2 BHK Apartment,Ready to Move
jodhpur_rajasthan,Price on Request,Golf Estate,"Air Force Area, Jodhpur",3 BHK Villa,"Dec, 2018"
jodhpur_rajasthan,80 L,EMI starts at 46.7 K,Shree Ram Shubham The Villas,"Shastri Nagar, Jodhpur",5 BHK Villa,Ready to Move
jodhpur_rajasthan,1.54 Cr - 2.23 Cr,EMI starts at 1.3 Lacs,Atlanta Olympic Lifestyles,"Sardarpura, Jodhpur","2, 3, 4 BHK Apartments",Ready to Move
jodhpur_rajasthan,Price on Request,Alokik Mayur Dhwaj Grand,"Laxmi Nagar, Jodhpur","2, 3, 4 BHK Apartments","Mar, 2020"
jodhpur_rajasthan,49.98 L - 59.22 L,EMI starts at 36.9 K,Pachar Indra Raj ,"Shastri Nagar, Jodhpur","2, 3 BHK Apartments",Ready to Move
jodhpur_rajasthan,28.06 L - 47.43 L,EMI starts at 29.5 K,Parsvnath Royale Floors,"Gangana, Jodhpur","2, 3 BHK Apartments"
jodhpur_rajasthan,1.54 Cr - 2.23 Cr,EMI starts at 1.3 Lacs,Atlanta Olympic Lifestyles,"Sardarpura, Jodhpur","2, 3, 4 BHK Apartments",Ready to Move
jodhpur_rajasthan,Price on Request,Unique Solitaire,"Sardarpura, Jodhpur","2, 3 BHK Apartments","Dec, 2018"
jodhpur_rajasthan,Price on Request,Arihant Ayati,"Ashok Nagar, Jodhpur","3, 4, 5 BHK Apartments",Ready to Move
jodhpur_rajasthan,Price on Request,Unique Green Acres,"Chaukhan, Jodhpur",2 BHK Apartment,"Dec, 2018"
jodhpur_rajasthan,25.2 L - 36.75 L,EMI starts at 22.9 K,Vinod Siddharth Residency,"Gangana, Jodhpur","2, 3 BHK Apartments",Ready to Move
jodhpur_rajasthan,24.6 L - 43.5 L,EMI starts at 27.1 K,Ashapurna Enclave Paradise,Jodhpur,"2, 3 BHK Villa, Apartments",Ready to Move
varanasi_uttar_pradesh,43.74 L - 70.47 L,EMI starts at 43.9 K,Winsome Residency,"Shivpurwa, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,37.4 L - 38.59 L,EMI starts at 24 K,Cenit Ananta Residency,"Akatha, Varanasi",2 BHK Apartment,Ready to Move
varanasi_uttar_pradesh,33.28 L - 52.96 L,EMI starts at 33 K,Winsome Paradise,"Hamrautia, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,1.54 Cr,EMI starts at 89.8 K,People Patthar Koti,"Jaitpura, Varanasi",4 BHK Villa,Ready to Move
varanasi_uttar_pradesh,56.25 L - 74.7 L,EMI starts at 46.5 K,Virat Manduadih,"Manduwadih, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,38.15 L - 47.6 L,EMI starts at 29.6 K,Cenit Avance Paradise,"Narayanpur, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,47.48 L - 87.57 L,EMI starts at 51.2 K,Rudra Samridhi,"Bhagwanpur, Varanasi","2, 3, 4 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,Price on Request,Mahavir Greens,"VDA Colony, Varanasi","2, 3, 4 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,49.98 L - 89.46 L,EMI starts at 52.3 K,Rudra Heights,"Paharia, Varanasi","2, 3, 4 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,48.56 L - 65.04 L,EMI starts at 40.5 K,Shapearth Raaga,"Chhataripur, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,1.11 Cr - 1.25 Cr,EMI starts at 73.1 K,ARC  Annapurna Grandeur,"Shivpurwa, Varanasi",3 BHK Apartment,Ready to Move
varanasi_uttar_pradesh,1.33 Cr,EMI starts at 77.7 K,Vinayak Vrindavan Residency,"Jaitpura, Varanasi",3 BHK Apartment,Ready to Move
varanasi_uttar_pradesh,44.5 L - 47.52 L,EMI starts at 29.6 K, Nilgiri Kutumb Apartments,"Kotwali, Varanasi",2 BHK Apartment,"Dec, 2018"
varanasi_uttar_pradesh,94.62 L - 1.48 Cr,EMI starts at 86.5 K,Balaji Luv Kush Apartment,"Mahmoorganj, Varanasi","3, 4 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,60.67 L - 73.34 L,EMI starts at 45.7 K,Awadh Apartment,"Shivpur, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,41.6 L,EMI starts at 25.9 K,Agrani IOB Nagar,"Kesharipur, Varanasi",3 BHK Apartment,"Dec, 2018"
varanasi_uttar_pradesh,83.5 L - 1.05 Cr,EMI starts at 61.1 K,Vinayak Residency,"Nagwa Lanka, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,81.41 L - 1.19 Cr,EMI starts at 69.4 K,Vinayak Vihar Varuna Garden,"Chotta Chuppepur, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,1.21 Cr - 1.75 Cr,EMI starts at 1.02 Lacs,Hispan Tirupati Enclave,"Shivpur, Varanasi","4, 5 BHK Villas",Ready to Move
varanasi_uttar_pradesh,1.54 Cr,EMI starts at 89.8 K,People Patthar Koti,"Jaitpura, Varanasi",4 BHK Villa,Ready to Move
varanasi_uttar_pradesh,79.47 L - 1.63 Cr,EMI starts at 95 K,Rudra Mukund Villas,"Kotwali, Varanasi","2, 3, 4 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,1.11 Cr - 1.25 Cr,EMI starts at 73.1 K,ARC  Annapurna Grandeur,"Shivpurwa, Varanasi",3 BHK Apartment,Ready to Move
varanasi_uttar_pradesh,1.33 Cr,EMI starts at 77.7 K,Vinayak Vrindavan Residency,"Jaitpura, Varanasi",3 BHK Apartment,Ready to Move
varanasi_uttar_pradesh,Price on Request,Mahavir Greens Mahavir Heights,"Lehertara Industrial Estate, Varanasi","2, 3, 4 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,78.88 L - 1.12 Cr,EMI starts at 65.4 K,Rudra Prestige,"Shivpurwa, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,49.69 L,EMI starts at 30.9 K,Technoculture Triveni Bungalow,"Ram Nagar, Varanasi",5 BHK Triplex,Ready to Move
varanasi_uttar_pradesh,36.9 L - 43.05 L,EMI starts at 26.8 K,Jeet Rivera,"Jalil Pur, Varanasi","2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,38.18 L - 62.86 L,EMI starts at 39.2 K,Rudra Towers,"Kailashpuri Colony, Varanasi","2, 3, 4 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,41.6 L,EMI starts at 25.9 K,Agrani IOB Nagar,"Kesharipur, Varanasi",3 BHK Apartment,"Dec, 2018"
varanasi_uttar_pradesh,40.77 L - 64.13 L,EMI starts at 39.9 K,Rudra Aashiyana,"Bagatpur, Varanasi","2, 3, 4 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,32.5 L,EMI starts at 20.2 K,Technoculture Jayanti Bungalows,Varanasi,3 BHK Villa,Ready to Move
varanasi_uttar_pradesh,33.95 L - 45.63 L,EMI starts at 28.4 K,Siddhi Vinayak Uma Nilayam Phase -1,Varanasi,"2, 3 BHK Apartments",Ready to Move
varanasi_uttar_pradesh,17.0 L,EMI starts at 10.6 K,Simplex,Varanasi,2 BHK Bungalow,Ready to Move
indore,17 L,EMI starts at 10.6 K,Gulmarg Valley,"Telephone Nagar, Indore",2 BHK Apartment,Ready to Move
indore,68.76 L,EMI starts at 42.8 K,Shri Vallabh Imperial,"Roopram Nagar, Indore",3 BHK Apartment,Ready to Move
indore,1.09 Cr - 1.47 Cr,EMI starts at 86 K,Om Lalji Nirvana Luxury,"Veer Sawarkar Nagar, Indore","3, 4 BHK Apartments",Ready to Move
indore,38.86 L,EMI starts at 24.2 K,Bundela Gulmohar Enclave,"Goyal Vihar, Indore",4 BHK Apartment,Ready to Move
indore,21.25 L,EMI starts at 13.2 K,Sumer Saffron Homes,"Nai Duniya, Indore",2 BHK Apartment,Ready to Move
indore,19.6 L,EMI starts at 12.2 K,Sakar NRI City I,"Pragati Vihar, Indore",2 BHK Apartment,Ready to Move
indore,54.22 L,EMI starts at 33.8 K,Shri Vallabh Fantasy,"Rajmahal Colony, Indore",3 BHK Apartment,Ready to Move
indore,20.25 L,EMI starts at 12.6 K,Barjatya Pearl Residency,"Shri Ram Nagar, Indore",2 BHK Apartment,Ready to Move
indore,13.72 L,EMI starts at 8.5 K,Vista Victoria Urbane,"Shivaji Nagar, Indore",1 BHK Apartment,Ready to Move
indore,13.13 L - 14.18 L,EMI starts at 8.8 K,Akriti Giriraj Mansion,"New Rani Bagh, Indore",2 BHK Apartment,Ready to Move
indore,46.8 L - 54.79 L,EMI starts at 34.1 K,Shubh - Laabh Tirumala Greens,"Nipania, Indore",3 BHK Villa,Ready to Move
indore,29.68 L,EMI starts at 18.5 K,Swarna Avenue,"Scheme No 114, Indore",2 BHK Apartment,Ready to Move
indore,27.25 L,EMI starts at 16.9 K,Varun Victoria Empire Park,"Dudhia, Indore",2 BHK Apartment,Ready to Move
indore,25.25 L,EMI starts at 15.7 K,Earthshastra Nariman Point,"Mahalakshmi Nagar, Indore",2 BHK Apartment,Ready to Move
indore,9.91 L - 19.81 L,EMI starts at 12.3 K,Gateway Ocean Glory,"Sangam Nagar, Indore","1, 2 BHK Apartments",Ready to Move
indore,Price on Request,"JSM Devcons Pinnacle ""D"" Dreams","Lasudia Mori, Indore","2, 2.5, 3, 4 BHK Apartments",Ready to Move
indore,15.48 L - 26.63 L,EMI starts at 16.6 K,Vastu Silicon City,"Rau, Indore","2, 3 BHK Apartments",Ready to Move
indore,37.5 L - 75 L,EMI starts at 46.7 K,Aarone County Walk Plots,"County Walk Township, Indore",Residential Plots,Ready to Move
indore,15 L - 18 L,EMI starts at 11.2 K,Entertainment Treasure Fantasy Plots,"RRCAT, Indore",Residential Plots,Ready to Move
indore,9.5 L - 1.94 Cr,EMI starts at 1.13 Lacs,Sakar Corridor,"Bada Bangarda, Indore",Residential Plots,Ready to Move
indore,11.61 L - 39.18 L,EMI starts at 24.4 K,Amrapali Modern City Plots,"Rau, Indore",Residential Plots,Ready to Move
indore,15 L - 36 L,EMI starts at 22.4 K,Sarthak Singapore Life Style Block A,"Tigaria Badshah, Indore",Residential Plots,Under Construction
indore,4.58 L - 12.5 L,EMI starts at 7.7 K,Shri Krishna Enclave,"Gram Baroli, Indore",Residential Plots,Ready to Move
indore,12 L - 15 L,EMI starts at 9.3 K,Sarthak Kalindi Mid Town and Kalindi Midtown Annexe,"Dudhia, Indore",Residential Plots,Ready to Move
indore,Price on Request,Mirchandani Shalimar Township Apartment,"Scheme No 114, Indore","1, 2, 3 BHK Apartments",Ready to Move
indore,Price on Request,Omaxe Shubhangan,"Omex City, Indore",Residential Plots,Ready to Move
indore,Price on Request,Omaxe City Plots,"Omex City, Indore",Residential Plots,"Sep, 2018"
indore,1.09 Cr - 1.47 Cr,EMI starts at 86 K,Om Lalji Nirvana Luxury,"Veer Sawarkar Nagar, Indore","3, 4 BHK Apartments",Ready to Move
indore,68.76 L,EMI starts at 42.8 K,Shri Vallabh Imperial,"Roopram Nagar, Indore",3 BHK Apartment,Ready to Move
indore,Price on Request,Aarone County Walk - Villa York,"County Walk Township, Indore",4 BHK Villa,Ready to Move
indore,37.4 L - 49.12 L,EMI starts at 30.6 K,BM Vijayvargiya Brijkamal Advance,"Telephone Nagar, Indore","2, 3 BHK Apartments",Ready to Move
indore,Price on Request,Morya Navjeevan,"Vaibhav Nagar, Indore",4 BHK Apartment,Ready to Move
indore,30.21 L - 44.13 L,EMI starts at 27.5 K,Shri Ram Sky Heights,"New Rani Bagh, Indore","2, 3 BHK Apartment, Duplexes",Ready to Move
indore,Price on Request,Aarone County Walk - Villa Kent,"County Walk Township, Indore",4 BHK Villa,Ready to Move
indore,18.03 L - 39.35 L,EMI starts at 24.5 K,Sai Century Park,"Rajendra Nagar, Indore","1, 2, 3 BHK Apartments",Ready to Move
indore,Price on Request,Kalpataru Grandeur,"Palasia, Indore","3, 4, 5 BHK Apartment, Duplexes","Jun, 2023"
indore,54.29 L,EMI starts at 33.8 K,Satya Malwa Heights,"Manglia, Indore",3 BHK Apartment,Ready to Move
indore,43.68 L,EMI starts at 27.2 K,Parshwanth Apartment,"Rau, Indore",3 BHK Apartment,Ready to Move
indore,58 L - 1.92 Cr,EMI starts at 1.12 Lacs,Skye Skye Luxuria,"Nipania, Indore","2, 3, 3.5, 4 BHK Apartments",Ready to Move
indore,88 L - 1.03 Cr,EMI starts at 60.4 K,Shri Krishna Central Arc,"Roopram Nagar, Indore",3 BHK Apartment,Ready to Move
indore,74.46 L - 84.73 L,EMI starts at 49.5 K,SS Infinitus Villa,"Lasudia Mori, Indore",3 BHK Villa,Ready to Move
indore,88.44 L - 1.16 Cr,EMI starts at 68 K,Skydot Meadows Villa,"Kanadiya, Indore","3, 4 BHK Villas",Ready to Move
indore,9.91 L - 19.81 L,EMI starts at 12.3 K,Gateway Ocean Glory,"Sangam Nagar, Indore","1, 2 BHK Apartments",Ready to Move
indore,10.24 L - 17.42 L,EMI starts at 10.8 K,SSTG Shree Vinayak Towers,"Lasudia Mori, Indore","1, 2 BHK Apartments",Ready to Move
indore,15.3 L - 30.6 L,EMI starts at 19 K,Kalani Treasure Fantasy,"RRCAT, Indore","2, 3 BHK Apartment, Row Houses",Ready to Move
indore,Price on Request,Aarone York Villa,"County Walk Township, Indore",4 BHK Villa,Ready to Move
indore,20.0 L - 24.08 L,EMI starts at 15 K,Gateway Silver Park ,"Silver Park Colony, Indore",3 BHK Villa,Ready to Move
indore,9.57 L - 20.63 L,EMI starts at 12.8 K,Raj Shreeji Heights,"Bhicholi Mardana, Indore","1, 2, 3 BHK Apartments",Ready to Move
indore,22.25 L - 38.25 L,EMI starts at 23.8 K,Vastu Vihar Sanghvi Residency,"Bhicholi Mardana, Indore",3 BHK Apartment,Ready to Move
indore,9.71 L - 14.34 L,EMI starts at 8.9 K,Premshree Prime Exotica,"Manglia, Indore","1, 2 BHK Apartments",Ready to Move
indore,8.76 L - 14.06 L,EMI starts at 8.7 K,Landmark Anand Heritage,"Bhicholi Mardana, Indore","1, 2 BHK Apartments",Ready to Move
indore,15.48 L - 26.63 L,EMI starts at 16.6 K,Vastu Silicon City,"Rau, Indore","2, 3 BHK Apartments",Ready to Move
indore,10.78 L - 14.15 L,EMI starts at 8.8 K,Jaiswal Saffron City,"Palakhedi, Indore","1, 2 BHK Apartments",Ready to Move
indore,16.35 L,EMI starts at 10.1 K,Crown Residency,"Rau, Indore",2 BHK Apartment,Ready to Move
indore,10.09 L - 22.63 L,EMI starts at 14.1 K,RAS Town,"Lasudia Mori, Indore","1, 2, 3 BHK Apartments",Ready to Move
