State Name/Location,pricing,Emi,Project Name,Location,Config,Possession Status
bhopal,36.01 L,EMI starts at 22.4 K,AG8 The Nest,"Salaiya, Bhopal",1 BHK Apartment,Ready to Move
bhopal,73.5 L - 1.05 Cr,EMI starts at 61.3 K,IBD Revaa,"Jatkhedi, Bhopal","3, 4 BHK Bungalows",Ready to Move
bhopal,1.19 Cr,EMI starts at 69.5 K,AG8 Aster Jewel,"Salaiya, Bhopal",4 BHK Apartment,Ready to Move
bhopal,1.0 Cr - 1.8 Cr,EMI starts at 1.05 Lacs,Paras Emperor,"Chinar Fortune City, Bhopal","3, 4, 5 BHK Apartments",Ready to Move
bhopal,94.9 L,EMI starts at 55.4 K,Raj Classic Apartments,"Ayodhya Nagar, Bhopal",4 BHK Apartment,Ready to Move
bhopal,67.5 L - 1.04 Cr,EMI starts at 60.5 K,Fortune Glory Extension - II,"Gulmohar Colony, Bhopal","3, 4 BHK Apartments",Ready to Move
bhopal,3.5 Cr,EMI starts at 2.04 Lacs,Amrit Pebble Bay Dream Villas Phase III,"Baghmugalia, Bhopal",5+ BHK Villa,Ready to Move
bhopal,1.45 Cr,EMI starts at 84.7 K,Amrit Pebble Bay Phase V,"Baghmugalia, Bhopal",5 BHK Villa,Ready to Move
bhopal,Price on Request,Lilasons Kanhaa Towers,"Arera Colony, Bhopal","3, 4 BHK Apartments",Ready to Move
bhopal,4.27 Cr,EMI starts at 2.49 Lacs,Amrit Pebble Bay Dream Villas Phase IV,"Baghmugalia, Bhopal",5+ BHK Villa,Ready to Move
bhopal,41.32 L - 71.77 L,EMI starts at 44.7 K,Dilip Nandgaon,"Baghmugalia, Bhopal","2, 3 BHK Row House, Duplexes",Ready to Move
bhopal,13.95 L - 40.97 L,EMI starts at 25.5 K,Paras Gulab Vatika,"Sehore, Bhopal","2, 3, 4 BHK Apartment, Duplexes",Ready to Move
